Generation,Population_Avg,Fittest_Agent,Best_Performer
1,48.92666666666666,50.8,51.5
2,49.35,48.9,54.7
3,50.292857142857144,47.9,53.400000000000006
4,49.57333333333334,53.7,52.2
5,50.54666666666667,51.9,54.2
6,50.480000000000004,49.7,54.400000000000006
7,50.095,52.1,52.900000000000006
8,50.27142857142857,48.4,54.2
9,50.22105263157895,53.7,52.5
10,50.1578947368421,49.7,52.900000000000006
11,50.08888888888889,49.4,53.800000000000004
12,50.13333333333333,49.5,54.300000000000004
13,51.1625,47.099999999999994,54.400000000000006
14,50.49565217391305,51.300000000000004,54.800000000000004
15,50.426086956521736,53.400000000000006,53.900000000000006
16,50.219047619047615,48.3,55.50000000000001
17,51.88260869565217,52.0,55.1
18,50.875,49.2,53.2
19,50.73333333333334,55.300000000000004,53.900000000000006
20,51.224000000000004,52.5,55.900000000000006
21,50.872,50.9,56.699999999999996
22,50.8,52.7,53.800000000000004
23,51.51818181818182,53.400000000000006,54.800000000000004
24,51.12916666666667,51.5,55.00000000000001
25,50.55416666666667,53.800000000000004,53.1
26,51.48846153846154,53.7,54.50000000000001
27,51.49230769230769,49.3,54.7
28,51.55769230769231,52.7,54.2
29,51.01923076923077,49.1,55.50000000000001
30,51.833333333333336,54.900000000000006,55.1
31,50.75555555555556,51.6,55.300000000000004
32,51.3925925925926,53.0,55.7
33,50.5,50.5,56.00000000000001
34,50.521428571428565,50.4,53.400000000000006
35,51.214285714285715,49.9,55.00000000000001
36,52.096428571428575,55.1,56.49999999999999
37,50.74814814814815,50.7,54.1
38,51.3423076923077,51.7,54.800000000000004
39,51.02307692307693,51.5,52.800000000000004
40,50.833333333333336,50.7,54.50000000000001
41,51.150000000000006,52.7,54.300000000000004
42,50.83461538461539,50.6,56.00000000000001
43,50.924,49.5,56.2
44,51.215384615384615,51.4,56.10000000000001
45,51.62692307692308,48.5,55.7
46,51.48461538461539,50.0,54.7
47,51.532,55.900000000000006,55.2
48,51.576,49.4,54.300000000000004
49,50.71153846153846,49.2,57.199999999999996
50,51.67692307692308,52.1,56.10000000000001
51,52.1,53.800000000000004,56.2
52,50.732142857142854,54.1,53.400000000000006
53,51.91034482758621,51.0,54.7
54,51.67333333333333,52.6,56.39999999999999
55,50.841379310344834,51.6,56.8
56,50.9741935483871,51.4,54.7
57,51.41875,51.300000000000004,56.10000000000001
58,50.92580645161291,50.5,54.300000000000004
59,51.30909090909091,51.4,56.89999999999999
60,50.912121212121214,51.1,54.800000000000004
61,51.996875,50.6,56.8
62,51.79375,57.3,55.2
63,51.33548387096774,55.50000000000001,55.7
64,51.28064516129032,51.6,55.60000000000001
65,51.3,53.400000000000006,55.00000000000001
66,51.59375,52.0,55.60000000000001
67,50.90588235294118,54.900000000000006,53.800000000000004
68,51.391176470588235,50.1,56.39999999999999
69,50.7969696969697,49.0,53.300000000000004
70,51.918181818181814,49.4,55.2
71,50.35454545454546,50.1,53.6
72,50.918181818181814,52.400000000000006,53.400000000000006
73,51.508823529411764,51.0,55.800000000000004
74,51.275757575757574,55.00000000000001,54.400000000000006
75,51.61515151515152,51.5,54.800000000000004
76,51.375757575757575,52.5,55.7
77,51.65,52.0,54.300000000000004
78,51.54375,49.2,55.800000000000004
79,51.987500000000004,50.4,56.49999999999999
80,51.265625,51.300000000000004,53.900000000000006
81,51.56857142857143,50.8,56.00000000000001
82,51.67878787878788,51.300000000000004,56.3
83,51.09375,50.7,56.599999999999994
84,51.57714285714286,53.300000000000004,55.800000000000004
85,50.857142857142854,52.7,54.7
86,51.14705882352941,50.5,56.10000000000001
87,50.77142857142857,53.800000000000004,54.6
88,51.55714285714286,50.1,55.400000000000006
89,51.254285714285714,52.400000000000006,57.9
90,51.42424242424242,53.400000000000006,55.1
91,51.351612903225806,53.1,54.400000000000006
92,51.445454545454545,52.6,54.300000000000004
93,50.9,52.300000000000004,54.1
94,51.61176470588235,51.4,55.300000000000004
95,51.56060606060606,50.3,56.89999999999999
96,51.43125,47.9,55.900000000000006
97,51.11515151515152,51.1,53.400000000000006
98,51.26176470588236,50.4,54.900000000000006
99,50.949999999999996,51.300000000000004,55.50000000000001
100,51.78529411764706,47.099999999999994,55.50000000000001
